 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -3.971 0.869 -5.6 -2.39 0.012 0.009 4551.0 2589.0 1.0
PermCellPDO -4.018 0.861 -5.545 -2.327 0.013 0.009 4255.0 2688.0 1.0
PermCell3HPA -4.034 0.861 -5.62 -2.472 0.019 0.015 1963.0 1459.0 1.0
k1DhaB -0.331 0.364 -0.894 0.125 0.052 0.037 175.0 41.0 1.01
k2DhaB 0.214 1.2 -1.976 2.406 0.124 0.134 167.0 44.0 1.02
k3DhaB 2.178 0.212 1.774 2.574 0.005 0.004 1781.0 2753.0 1.0
KeqDhaB 7.495 0.29 7.064 7.998 0.005 0.004 3747.0 3177.0 1.0
k1DhaT 2.2 0.866 0.573 3.815 0.014 0.011 3884.0 3116.0 1.0
k2DhaT 1.005 0.485 0.058 1.867 0.007 0.005 5071.0 4135.0 1.0
k3DhaT 2.044 0.55 0.971 3.05 0.045 0.039 219.0 58.0 1.01
KeqDhaT 3.525 0.828 2.207 4.956 0.018 0.013 2658.0 2935.0 1.0
VmaxfMetab 0.319 0.079 0.169 0.465 0.002 0.001 2129.0 2044.0 1.0
KmMetabG 2.757 0.135 2.504 3.019 0.003 0.002 2105.0 1996.0 1.0
DHAB_INIT -1.851 0.214 -2.254 -1.444 0.005 0.004 1712.0 2611.0 1.0
DHAT_INIT 0.075 0.472 -0.792 0.971 0.006 0.007 5602.0 3475.0 1.0
