 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -4.0 0.0 -4.0 -4.0 0.0 0.0 2.0 23.0 2.69
PermCell3HPA -4.0 0.0 -4.0 -4.0 0.0 0.0 3.0 6.0 2.17
PermCellPDO -4.0 0.0 -4.0 -4.0 0.0 0.0 3.0 34.0 2.02
PermCellHCoA -4.0 0.0 -4.0 -4.0 0.0 0.0 3.0 28.0 1.96
PermCellHPhosph -4.0 0.0 -4.0 -4.0 0.0 0.0 2.0 2.0 3.28
PermMCPGlycerol -10.5 0.0 -10.5 -10.5 0.0 0.0 2.0 11.0 3.16
PermMCP3HPA -10.5 0.0 -10.5 -10.5 0.0 0.0 2.0 2.0 2.49
PermMCPPDO -10.5 0.0 -10.5 -10.5 0.0 0.0 3.0 20.0 2.3
PermMCPHCoA -10.5 0.0 -10.5 -10.5 0.0 0.0 3.0 40.0 2.23
PermMCPHPhosph -10.5 0.0 -10.5 -10.5 0.0 0.0 2.0 2.0 3.53
PermMCPNADH -10.5 0.0 -10.5 -10.5 0.0 0.0 2.0 3.0 2.59
PermMCPNAD -10.5 0.0 -10.5 -10.5 0.0 0.0 2.0 3.0 3.91
k1PduCDE 0.0 0.0 0.0 0.0 0.0 0.0 2.0 2.0 3.35
k2PduCDE 0.0 0.0 -0.0 0.0 0.0 0.0 3.0 24.0 2.16
k3PduCDE -0.0 0.0 -0.0 0.0 0.0 0.0 2.0 3.0 3.82
KeqPduCDE 7.5 0.0 7.5 7.5 0.0 0.0 2.0 2.0 
k1PduQ 0.0 0.0 -0.0 0.0 0.0 0.0 2.0 12.0 3.05
k2PduQ 0.0 0.0 0.0 0.0 0.0 0.0 3.0 11.0 2.11
k3PduQ -0.0 0.0 -0.0 -0.0 0.0 0.0 3.0 14.0 2.23
k4PduQ 0.0 0.0 0.0 0.0 0.0 0.0 2.0 2.0 2.63
k5PduQ -0.0 0.0 -0.0 -0.0 0.0 0.0 2.0 5.0 2.47
k6PduQ 0.0 0.0 -0.0 0.0 0.0 0.0 3.0 25.0 1.97
k7PduQ 0.0 0.0 -0.0 0.0 0.0 0.0 3.0 8.0 2.44
KeqPduQ 3.5 0.0 3.5 3.5 0.0 0.0 2.0 12.0 2.9
k1PduP -0.0 0.0 -0.0 -0.0 0.0 0.0 3.0 22.0 2.24
k2PduP 0.0 0.0 -0.0 0.0 0.0 0.0 3.0 8.0 2.22
k3PduP -0.0 0.0 -0.0 -0.0 0.0 0.0 2.0 26.0 2.84
k4PduP -0.0 0.0 -0.0 -0.0 0.0 0.0 2.0 12.0 2.49
k5PduP -0.0 0.0 -0.0 0.0 0.0 0.0 2.0 2.0 2.41
k6PduP 0.0 0.0 -0.0 0.0 0.0 0.0 3.0 7.0 2.26
k7PduP 0.0 0.0 -0.0 0.0 0.0 0.0 2.0 8.0 3.13
KeqPduP 1.849 0.0 1.849 1.849 0.0 0.0 3.0 37.0 2.04
k1PduL -0.0 0.0 -0.0 -0.0 0.0 0.0 2.0 2.0 4.13
k2PduL -0.0 0.0 -0.0 0.0 0.0 0.0 2.0 2.0 2.43
k3PduL -0.0 0.0 -0.0 0.0 0.0 0.0 2.0 23.0 2.71
KeqPduL -4.0 0.0 -4.0 -4.0 0.0 0.0 2.0 2.0 2.51
VmaxfGlpK -0.0 0.0 -0.0 -0.0 0.0 0.0 3.0 11.0 2.29
KmGlpK -0.0 0.0 -0.0 -0.0 0.0 0.0 2.0 19.0 2.46
nMCPs 0.977 0.0 0.977 0.977 0.0 0.0 2.0 10.0 3.09
AJ_radius -6.748 0.0 -6.748 -6.748 0.0 0.0 2.0 4.0 3.24
NADH_NAD_TOTAL_CYTO -0.0 0.0 -0.0 -0.0 0.0 0.0 3.0 15.0 2.04
NADH_NAD_RATIO_CYTO -3.0 0.0 -3.0 -3.0 0.0 0.0 2.0 14.0 2.81
NADH_NAD_TOTAL_MCP -0.0 0.0 -0.0 0.0 0.0 0.0 3.0 16.0 2.27
NADH_NAD_RATIO_MCP -3.0 0.0 -3.0 -3.0 0.0 0.0 2.0 2.0 2.39
nPduCDE_WT 2.477 0.0 2.477 2.477 0.0 0.0 2.0 10.0 3.16
nPduQ_WT 1.997 0.0 1.997 1.997 0.0 0.0 3.0 10.0 2.1
nPduP_WT 2.074 0.0 2.074 2.074 0.0 0.0 2.0 2.0 7.21
nPduL_WT 1.239 0.0 1.239 1.239 0.0 0.0 2.0 10.0 2.83
nPduCDE_dAJ 2.477 0.0 2.477 2.477 0.0 0.0 2.0 2.0 2.8
nPduQ_dAJ 1.997 0.0 1.997 1.997 0.0 0.0 3.0 6.0 2.22
nPduP_dAJ 2.074 0.0 2.074 2.074 0.0 0.0 2.0 2.0 3.62
nPduL_dAJ 1.239 0.0 1.239 1.239 0.0 0.0 3.0 10.0 1.98
k4PduCDE -7.5 0.0 -7.5 -7.5 0.0 0.0 3.0 2.0 2.08
kcat_PduCDE_f -0.0 0.0 -0.0 0.0 0.0 0.0 2.0 3.0 3.82
kcat_PduCDE_Glycerol 0.301 0.0 0.301 0.301 0.0 0.0 3.0 7.0 2.29
kcat_PduCDE_r 0.0 0.0 -0.0 0.0 0.0 0.0 3.0 24.0 2.16
kcat_PduCDE_HPA 7.801 0.0 7.801 7.801 0.0 0.0 3.0 21.0 2.08
