 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -4.024 0.841 -5.71 -2.646 0.068 0.05 179.0 612.0 1.02
PermCell3HPA -4.05 0.808 -5.685 -2.581 0.042 0.03 360.0 379.0 1.1
PermCellPDO -3.99 0.819 -5.263 -2.021 0.065 0.046 180.0 54.0 1.08
PermCellHCoA -4.236 1.065 -5.885 -2.561 0.249 0.202 22.0 53.0 1.07
PermCellHPhosph -3.737 0.983 -5.313 -2.125 0.179 0.128 38.0 134.0 1.07
PermMCPGlycerol -10.518 1.729 -13.682 -7.161 0.088 0.065 394.0 877.0 1.03
PermMCP3HPA -10.523 1.819 -13.927 -6.779 0.089 0.067 405.0 407.0 1.07
PermMCPPDO -10.681 1.86 -14.175 -7.136 0.139 0.112 197.0 324.0 1.1
PermMCPHCoA -10.373 1.817 -14.186 -7.308 0.1 0.073 345.0 202.0 1.09
PermMCPHPhosph -10.05 1.975 -13.791 -6.871 0.227 0.161 136.0 501.0 1.02
PermMCPNADH -10.78 1.9 -13.538 -6.713 0.339 0.245 41.0 429.0 1.05
PermMCPNAD -10.671 1.857 -14.509 -7.412 0.139 0.106 186.0 211.0 1.05
k1PduCDE 2.255 0.92 0.786 4.039 0.151 0.108 34.0 61.0 1.05
k2PduCDE -0.224 1.02 -1.904 1.735 0.175 0.125 43.0 234.0 1.04
k3PduCDE 1.559 0.143 1.256 1.745 0.022 0.016 36.0 142.0 1.05
KeqPduCDE 7.506 0.267 7.002 7.926 0.016 0.011 278.0 143.0 1.07
k1PduQ 3.393 0.654 2.28 4.66 0.059 0.042 146.0 386.0 1.02
k2PduQ 1.629 0.539 0.661 2.787 0.037 0.029 222.0 144.0 1.08
k3PduQ 4.278 0.443 3.594 4.967 0.101 0.074 22.0 127.0 1.07
k4PduQ 1.83 0.569 0.734 2.722 0.106 0.081 31.0 517.0 1.05
k5PduQ 2.344 0.426 1.67 2.999 0.096 0.069 24.0 195.0 1.08
k6PduQ 2.266 0.415 1.57 2.944 0.039 0.028 120.0 262.0 1.03
k7PduQ 2.769 0.555 1.824 3.542 0.151 0.113 16.0 303.0 1.11
KeqPduQ 4.549 0.305 3.991 5.0 0.02 0.014 170.0 134.0 1.05
k1PduP 2.162 0.863 0.42 3.661 0.079 0.056 149.0 420.0 1.02
k2PduP 0.566 0.711 -0.907 1.694 0.088 0.062 85.0 200.0 1.04
k3PduP 3.298 0.625 2.215 4.504 0.036 0.025 306.0 293.0 1.09
k4PduP 0.851 0.832 -0.451 2.129 0.214 0.182 15.0 49.0 1.1
k5PduP 1.68 0.7 0.392 2.885 0.05 0.035 209.0 454.0 1.01
k6PduP 0.394 0.908 -0.988 2.035 0.186 0.133 23.0 63.0 1.07
k7PduP 1.931 0.875 0.653 3.634 0.128 0.091 44.0 728.0 1.04
KeqPduP 3.253 0.422 2.602 3.699 0.03 0.022 155.0 53.0 1.11
k1PduL -0.939 0.416 -1.756 -0.124 0.018 0.013 442.0 598.0 1.07
k2PduL 1.094 0.498 0.113 1.863 0.07 0.05 56.0 1009.0 1.03
k3PduL -1.11 0.553 -1.958 -0.107 0.101 0.082 37.0 265.0 1.04
KeqPduL -4.065 0.555 -4.925 -3.08 0.036 0.026 368.0 348.0 1.03
VmaxfGlpK 0.009 0.012 -0.015 0.031 0.001 0.001 162.0 343.0 1.03
