 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -4.002 0.863 -5.679 -2.47 0.007 0.005 12579.0 7796.0 1.0
PermCellPDO -3.99 0.873 -5.567 -2.364 0.008 0.006 11352.0 7289.0 1.0
PermCell3HPA -4.007 0.868 -5.669 -2.438 0.008 0.006 10426.0 7363.0 1.0
k1DhaB 0.489 0.573 -0.566 1.581 0.006 0.005 8429.0 8993.0 1.0
k2DhaB -0.645 0.569 -1.74 0.379 0.008 0.006 5464.0 5037.0 1.0
k3DhaB 1.472 0.469 0.608 2.365 0.005 0.004 7706.0 9620.0 1.0
k4DhaB 2.338 0.601 1.224 3.482 0.007 0.005 8092.0 8771.0 1.0
k1DhaT 1.076 0.599 0.014 2.252 0.006 0.004 10120.0 11676.0 1.0
k2DhaT -0.611 0.652 -1.89 0.56 0.008 0.006 6528.0 7092.0 1.0
k3DhaT 1.323 0.558 0.294 2.391 0.006 0.004 8503.0 9962.0 1.0
k4DhaT 1.818 0.647 0.618 3.048 0.007 0.005 9390.0 8878.0 1.0
VmaxfMetab -0.413 0.064 -0.537 -0.309 0.001 0.001 6043.0 4012.0 1.0
KmMetabG -2.005 0.503 -2.939 -1.052 0.004 0.003 12662.0 8952.0 1.0
DHAB_INIT -0.078 0.391 -0.82 0.656 0.005 0.003 7465.0 8492.0 1.0
DHAT_INIT -0.101 0.399 -0.885 0.625 0.004 0.003 9345.0 9858.0 1.0
