 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -3.989 0.873 -5.61 -2.363 0.006 0.004 17904.0 9275.0 1.0
PermCellPDO -3.979 0.869 -5.594 -2.379 0.006 0.004 23338.0 11110.0 1.0
PermCell3HPA -4.008 0.893 -5.61 -2.331 0.007 0.005 15122.0 9112.0 1.0
k1DhaB 0.179 0.514 -0.787 1.148 0.018 0.013 738.0 6911.0 1.01
k2DhaB -1.097 1.039 -2.808 1.137 0.321 0.234 16.0 24.0 1.22
k3DhaB 2.253 0.238 1.815 2.709 0.002 0.001 15236.0 9664.0 1.0
k4DhaB 4.53 0.527 3.573 5.558 0.088 0.062 40.0 35.0 1.08
k1DhaT 3.133 0.538 2.115 4.134 0.036 0.025 229.0 9449.0 1.02
k2DhaT 0.334 0.527 -0.783 1.223 0.147 0.106 17.0 25.0 1.21
k3DhaT 1.972 0.404 1.227 2.75 0.005 0.003 6749.0 15108.0 1.01
k4DhaT 1.857 0.517 0.906 2.828 0.025 0.017 435.0 9173.0 1.01
VmaxfMetab -0.221 0.01 -0.239 -0.202 0.0 0.0 21134.0 14327.0 1.0
KmMetabG -1.998 0.5 -2.905 -1.028 0.004 0.003 19797.0 15213.0 1.0
DHAB_INIT -0.591 0.413 -1.38 0.163 0.059 0.042 52.0 111.0 1.06
DHAT_INIT -0.243 0.425 -1.142 0.497 0.106 0.084 19.0 25.0 1.17
