 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -3.992 0.878 -5.694 -2.376 0.016 0.011 2811.0 1696.0 1.0
PermCellPDO -4.0 0.897 -5.689 -2.375 0.014 0.01 3794.0 2033.0 1.0
PermCell3HPA -3.982 0.887 -5.614 -2.32 0.013 0.009 4477.0 2450.0 1.0
k1DhaB -0.396 0.724 -1.663 0.938 0.015 0.011 2411.0 3791.0 1.0
k2DhaB 1.466 1.253 -0.994 3.539 0.028 0.02 2121.0 3634.0 1.0
k3DhaB 0.76 0.517 -0.163 1.767 0.012 0.009 1866.0 2541.0 1.0
KeqDhaB 7.498 0.285 7.066 7.999 0.003 0.002 8365.0 3315.0 1.0
k1DhaT 2.188 0.896 0.502 3.832 0.013 0.011 5163.0 2995.0 1.0
k2DhaT 0.087 0.941 -1.698 1.841 0.013 0.014 4988.0 3451.0 1.0
k3DhaT 2.11 0.918 0.414 3.871 0.012 0.01 5843.0 3789.0 1.0
KeqDhaT 3.545 0.869 2.199 5.0 0.017 0.012 2334.0 2810.0 1.0
VmaxfMetab -0.081 0.018 -0.122 -0.05 0.004 0.003 61.0 21.0 1.04
KmMetabG -1.996 0.51 -2.966 -1.079 0.007 0.005 5716.0 4544.0 1.0
DHAB_INIT -0.532 0.513 -1.444 0.463 0.011 0.008 2022.0 3146.0 1.0
DHAT_INIT 0.087 0.472 -0.806 0.956 0.007 0.007 4398.0 3050.0 1.0
