 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -4.07 0.972 -5.978 -2.492 0.166 0.126 29.0 24.0 1.13
PermCellPDO -3.974 0.87 -5.616 -2.473 0.051 0.038 297.0 340.0 1.02
PermCell3HPA -4.015 0.882 -5.679 -2.402 0.062 0.045 191.0 184.0 1.02
k1DhaB -0.294 0.707 -1.57 0.894 0.137 0.098 30.0 175.0 1.13
k2DhaB 1.577 1.231 -0.838 3.31 0.247 0.187 23.0 223.0 1.15
k3DhaB 0.774 0.501 -0.133 1.77 0.096 0.069 28.0 43.0 1.13
KeqDhaB 7.486 0.283 7.003 7.937 0.018 0.013 247.0 391.0 1.02
k1DhaT 2.34 0.882 0.673 3.99 0.059 0.045 233.0 218.0 1.03
k2DhaT 0.086 0.895 -1.635 1.709 0.047 0.034 358.0 688.0 1.02
k3DhaT 2.105 0.877 0.512 3.737 0.042 0.03 429.0 872.0 1.0
KeqDhaT 3.651 0.844 2.285 4.997 0.144 0.109 29.0 41.0 1.14
VmaxfMetab -0.078 0.009 -0.094 -0.061 0.001 0.0 178.0 368.0 1.02
KmMetabG -2.013 0.486 -2.911 -1.109 0.031 0.022 252.0 369.0 1.02
DHAB_INIT -0.555 0.499 -1.505 0.382 0.096 0.068 28.0 43.0 1.13
DHAT_INIT 0.066 0.445 -0.666 0.954 0.022 0.015 380.0 302.0 1.01
