 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -4.464 0.788 -5.409 -2.698 0.374 0.291 5.0 53.0 1.37
PermCellPDO -4.013 0.645 -5.503 -2.649 0.017 0.012 215.0 59.0 1.42
PermCell3HPA -3.915 0.701 -5.474 -2.621 0.083 0.073 67.0 53.0 1.16
k1DhaB 2.62 0.734 0.922 3.664 0.29 0.215 9.0 56.0 1.61
k2DhaB -6.091 0.376 -6.817 -5.697 0.22 0.175 3.0 78.0 1.57
k3DhaB 2.653 0.182 2.221 2.917 0.064 0.047 8.0 55.0 1.35
KeqDhaB 7.09 0.108 7.0 7.298 0.04 0.03 11.0 48.0 1.38
k1DhaT 1.789 0.826 0.743 3.426 0.409 0.313 5.0 67.0 1.35
k2DhaT 0.263 0.727 -0.751 2.01 0.26 0.191 11.0 65.0 1.29
k3DhaT 2.293 0.638 0.709 3.038 0.252 0.187 6.0 59.0 1.35
k4DhaT 0.461 0.628 -1.044 1.551 0.075 0.071 67.0 54.0 1.37
k5DhaT 1.643 0.407 1.02 2.607 0.119 0.089 10.0 52.0 1.39
k6DhaT 1.698 0.482 0.637 2.441 0.112 0.081 20.0 71.0 1.15
k7DhaT 2.144 0.497 1.106 2.762 0.239 0.182 5.0 66.0 1.32
KeqDhaT 4.23 0.592 2.96 5.0 0.196 0.144 14.0 48.0 1.26
k1E0 -0.843 0.385 -1.731 -0.267 0.136 0.104 13.0 61.0 1.39
k2E0 1.39 0.337 0.625 1.921 0.115 0.085 10.0 49.0 1.38
k3E0 -0.763 0.437 -1.794 -0.226 0.177 0.132 8.0 48.0 1.25
k4E0 1.453 0.419 0.517 2.009 0.182 0.137 5.0 57.0 1.46
VmaxfDhaK -0.415 0.032 -0.463 -0.341 0.003 0.002 51.0 76.0 1.24
KmDhaK -2.011 0.355 -2.833 -1.303 0.011 0.008 140.0 57.0 1.34
DHAB_INIT -1.58 0.292 -1.873 -0.995 0.163 0.132 4.0 64.0 1.55
DHAT_INIT 0.172 0.241 -0.296 0.725 0.02 0.055 100.0 57.0 1.43
E0_INIT 0.156 0.358 -0.408 0.86 0.163 0.123 5.0 36.0 1.37
NADH_NAD_TOTAL_INIT 0.682 0.259 0.259 1.26 0.067 0.055 20.0 51.0 1.18
NADH_NAD_RATIO_INIT -0.15 0.373 -0.724 0.747 0.116 0.085 10.0 57.0 1.39
