 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -4.423 0.763 -5.422 -2.619 0.324 0.243 8.0 64.0 1.87
PermCellPDO -3.936 0.612 -5.555 -2.824 0.021 0.055 120.0 63.0 1.87
PermCell3HPA -4.25 0.676 -5.416 -2.598 0.189 0.137 21.0 55.0 1.96
k1DhaB 1.017 1.375 -0.625 2.379 0.964 0.821 3.0 37.0 2.02
k2DhaB 1.207 1.308 -1.344 2.25 0.757 0.617 4.0 72.0 1.88
k3DhaB 2.0 0.241 1.814 2.501 0.137 0.108 3.0 70.0 2.22
KeqDhaB 7.462 0.203 7.024 7.881 0.012 0.011 289.0 55.0 1.86
k1DhaT 2.499 0.823 0.661 3.469 0.389 0.296 5.0 60.0 2.23
k2DhaT 2.334 1.937 -0.544 4.166 1.308 1.148 3.0 15.0 1.86
k3DhaT 2.25 0.593 0.743 3.041 0.208 0.152 11.0 62.0 1.88
k4DhaT 1.14 0.878 -0.915 1.78 0.474 0.39 4.0 82.0 2.03
k5DhaT 1.925 0.561 0.916 3.257 0.119 0.107 23.0 55.0 1.83
k6DhaT -1.565 1.686 -3.142 1.005 1.129 0.996 3.0 32.0 1.86
k7DhaT 2.487 0.642 0.979 3.649 0.072 0.051 80.0 53.0 1.84
KeqDhaT 3.844 0.548 2.941 5.0 0.075 0.082 37.0 54.0 1.87
k1E0 -0.344 0.744 -1.59 0.316 0.476 0.388 3.0 25.0 2.23
k2E0 2.651 1.561 0.586 4.178 1.083 0.929 3.0 35.0 2.23
k3E0 -0.835 0.392 -1.748 -0.23 0.131 0.103 13.0 62.0 1.85
k4E0 0.997 0.384 0.412 1.874 0.143 0.11 11.0 60.0 1.83
VmaxfDhaK 1.022 0.713 0.221 1.769 0.502 0.426 3.0 11.0 2.23
KmDhaK 0.994 1.752 -0.755 2.902 1.236 1.046 3.0 11.0 2.14
DHAB_INIT -1.268 0.613 -2.117 -0.675 0.422 0.353 3.0 27.0 1.89
DHAT_INIT -0.054 0.303 -0.497 0.68 0.107 0.078 12.0 50.0 1.93
E0_INIT -0.486 0.795 -1.22 0.764 0.525 0.434 3.0 58.0 1.83
NADH_NAD_TOTAL_INIT 1.273 0.771 0.102 1.996 0.517 0.452 3.0 21.0 2.03
NADH_NAD_RATIO_INIT -0.188 0.386 -0.772 0.754 0.121 0.088 14.0 55.0 1.94
