 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -5.325 0.125 -5.563 -5.104 0.045 0.033 10.0 20.0 
PermCellPDO -2.967 0.268 -3.52 -2.551 0.233 0.228 1.0 20.0 
PermCell3HPA -3.768 0.437 -4.616 -3.027 0.17 0.13 7.0 15.0 
PermCellDHA -4.522 0.624 -5.609 -3.519 0.216 0.165 8.0 20.0 
k1DhaB 1.683 0.305 0.874 2.111 0.099 0.073 9.0 11.0 
k2DhaB -5.62 0.096 -5.795 -5.501 0.076 0.069 2.0 23.0 
k3DhaB 2.24 0.007 2.228 2.252 0.003 0.002 4.0 15.0 
KeqDhaB 7.156 0.103 7.042 7.347 0.082 0.074 2.0 32.0 
k1DhaT 3.57 0.476 2.732 4.232 0.406 0.397 1.0 29.0 
k2DhaT 0.122 0.418 -0.82 0.902 0.147 0.108 11.0 20.0 
k3DhaT 2.193 0.228 1.795 2.617 0.196 0.19 1.0 11.0 
k4DhaT 1.254 0.459 0.526 1.844 0.363 0.341 2.0 13.0 
k5DhaT 1.482 0.057 1.394 1.595 0.032 0.025 5.0 15.0 
k6DhaT 0.886 0.143 0.691 1.177 0.043 0.033 14.0 45.0 
k7DhaT 1.864 0.129 1.685 2.13 0.032 0.023 17.0 72.0 
KeqDhaT 3.83 0.195 3.466 4.248 0.077 0.058 7.0 11.0 
k1DhaD 0.049 0.63 -1.365 1.062 0.146 0.105 20.0 32.0 
k2DhaD 2.287 0.439 1.659 3.226 0.366 0.344 2.0 15.0 
k3DhaD 0.085 0.575 -0.879 1.106 0.227 0.168 7.0 22.0 
k4DhaD 2.37 0.485 1.54 3.246 0.18 0.133 8.0 11.0 
k5DhaD -0.878 0.941 -2.882 0.615 0.323 0.305 11.0 11.0 
k6DhaD -0.166 0.304 -0.683 0.348 0.245 0.224 2.0 13.0 
k7DhaD -3.804 0.591 -4.749 -2.717 0.544 0.582 1.0 11.0 
KeqDhaD -3.763 0.206 -4.072 -3.403 0.189 0.197 1.0 20.0 
k1E0 -0.532 0.858 -1.991 1.133 0.212 0.153 17.0 27.0 
k2E0 1.508 0.506 0.447 2.146 0.181 0.133 9.0 12.0 
k3E0 0.665 0.293 0.162 1.182 0.173 0.137 3.0 14.0 
k4E0 1.389 0.162 1.032 1.648 0.102 0.084 3.0 11.0 
VmaxfDhaK -0.206 0.321 -0.713 0.278 0.295 0.309 1.0 12.0 
KmDhaK -1.818 0.244 -2.259 -1.439 0.081 0.061 9.0 20.0 
DHAB_INIT -1.531 0.007 -1.543 -1.518 0.002 0.001 15.0 18.0 
DHAT_INIT -0.173 0.12 -0.402 -0.001 0.092 0.081 2.0 23.0 
DHAD_INIT 0.132 0.487 -0.581 1.073 0.35 0.299 2.0 11.0 
E0_INIT 0.633 0.118 0.451 0.818 0.107 0.11 1.0 20.0 
NADH_NAD_TOTAL_INIT 0.371 0.186 -0.006 0.662 0.056 0.041 11.0 12.0 
NADH_NAD_RATIO_INIT -0.026 0.244 -0.493 0.336 0.088 0.066 9.0 25.0 
