 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -3.977 0.837 -5.497 -2.444 0.029 0.021 857.0 711.0 1.0
PermCellPDO -3.979 0.848 -5.429 -2.274 0.032 0.023 726.0 989.0 1.0
PermCell3HPA -3.937 0.866 -5.714 -2.427 0.053 0.038 236.0 91.0 1.01
PermCellDHA -3.965 0.862 -5.64 -2.497 0.04 0.029 508.0 444.0 1.01
k1DhaB 0.061 0.275 -0.452 0.556 0.056 0.04 24.0 474.0 1.08
k2DhaB 0.186 1.081 -1.848 2.362 0.052 0.046 463.0 234.0 1.0
k3DhaB 2.128 0.21 1.761 2.55 0.013 0.01 254.0 432.0 1.01
KeqDhaB 7.505 0.286 7.036 7.968 0.014 0.01 454.0 682.0 1.0
k1DhaT 2.871 0.632 1.752 4.063 0.214 0.157 9.0 59.0 1.16
k2DhaT 2.105 0.739 0.704 3.35 0.388 0.3 4.0 52.0 1.49
k3DhaT 2.495 0.927 0.875 4.141 0.518 0.406 3.0 48.0 1.6
k4DhaT 0.595 1.219 -1.332 2.634 0.765 0.619 3.0 60.0 1.8
k5DhaT 1.734 0.834 0.266 3.296 0.412 0.315 4.0 56.0 1.42
k6DhaT 0.853 0.898 -0.757 2.47 0.43 0.327 5.0 62.0 1.38
k7DhaT 2.528 0.696 1.295 3.832 0.129 0.099 35.0 212.0 1.05
KeqDhaT 4.755 0.319 4.119 5.0 0.156 0.123 3.0 51.0 1.71
k1DhaD 1.009 0.644 -0.07 2.243 0.249 0.184 7.0 66.0 1.2
k2DhaD 2.179 0.634 0.937 3.335 0.048 0.037 176.0 219.0 1.03
k3DhaD 0.704 0.655 -0.473 2.001 0.024 0.017 735.0 1596.0 1.0
k4DhaD 2.124 0.694 0.923 3.51 0.07 0.054 108.0 88.0 1.05
k5DhaD 1.364 0.403 0.657 2.125 0.12 0.087 11.0 85.0 1.14
k6DhaD 1.314 1.265 -0.539 3.315 0.832 0.684 3.0 49.0 1.82
k7DhaD 1.4 0.412 0.637 2.148 0.101 0.073 16.0 81.0 1.09
KeqDhaD -3.147 0.215 -3.59 -3.0 0.085 0.063 4.0 55.0 1.49
k1E0 2.658 0.542 1.702 3.685 0.073 0.053 60.0 165.0 1.02
k2E0 1.356 0.709 0.243 2.686 0.16 0.154 28.0 210.0 1.19
k3E0 1.673 0.692 0.506 2.865 0.124 0.095 33.0 128.0 1.12
k4E0 1.403 1.096 -0.358 3.205 0.683 0.551 3.0 43.0 1.78
VmaxfDhaK 0.566 0.863 -0.319 1.882 0.574 0.474 3.0 185.0 1.83
KmDhaK -2.097 0.464 -2.929 -1.193 0.018 0.013 699.0 1019.0 1.02
DHAB_INIT -2.007 0.21 -2.407 -1.613 0.013 0.01 262.0 456.0 1.01
DHAT_INIT 0.71 0.304 0.148 1.0 0.174 0.151 3.0 47.0 1.68
DHAD_INIT 0.63 0.218 0.258 0.99 0.029 0.024 52.0 247.0 1.05
E0_INIT 0.55 0.278 0.063 0.998 0.061 0.044 19.0 431.0 1.09
NADH_NAD_TOTAL_INIT 0.833 0.14 0.594 1.0 0.071 0.057 4.0 97.0 1.44
NADH_NAD_RATIO_INIT -0.026 0.48 -0.867 0.865 0.015 0.01 1062.0 1168.0 1.0
