 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -4.099 0.834 -5.707 -2.644 0.097 0.069 77.0 176.0 1.03
PermCellPDO -4.27 0.903 -5.979 -2.787 0.199 0.143 20.0 175.0 1.08
PermCell3HPA -4.115 0.889 -5.997 -2.736 0.088 0.069 93.0 43.0 1.02
k1DhaB -2.163 0.284 -2.643 -1.697 0.01 0.007 750.0 1719.0 1.0
k2DhaB 0.151 1.124 -2.008 2.121 0.111 0.079 107.0 287.0 1.03
k3DhaB 3.207 0.584 2.194 4.36 0.017 0.012 1172.0 1705.0 1.0
KeqDhaB 7.7 0.297 7.131 7.999 0.156 0.122 4.0 56.0 1.5
k1DhaT 2.157 0.898 0.459 3.802 0.017 0.014 2920.0 2477.0 1.0
k2DhaT -2.214 0.571 -3.316 -1.218 0.258 0.194 5.0 27.0 1.31
k3DhaT 2.765 0.697 1.456 4.008 0.016 0.013 2054.0 1851.0 1.0
KeqDhaT 2.623 0.54 2.0 3.638 0.28 0.216 4.0 24.0 1.54
kcatfMetab 0.246 0.235 -0.2 0.674 0.017 0.012 191.0 549.0 1.03
KmMetabG -2.008 0.491 -2.908 -1.074 0.007 0.005 4932.0 3669.0 1.0
DHAB_INIT_50 0.06 0.245 -0.394 0.516 0.011 0.008 468.0 2512.0 1.01
DHAB_INIT_60 -0.122 0.242 -0.552 0.342 0.012 0.008 439.0 2893.0 1.01
DHAB_INIT_70 -0.241 0.241 -0.675 0.221 0.012 0.009 371.0 2380.0 1.01
DHAB_INIT_80 -0.349 0.241 -0.805 0.096 0.012 0.009 380.0 2442.0 1.01
DHAT_INIT_50 0.176 0.347 -0.486 0.778 0.009 0.008 1449.0 1412.0 1.0
DHAT_INIT_60 0.129 0.314 -0.45 0.729 0.01 0.007 970.0 1428.0 1.01
DHAT_INIT_70 -0.283 0.268 -0.792 0.22 0.013 0.009 443.0 3089.0 1.01
DHAT_INIT_80 -0.398 0.263 -0.902 0.077 0.014 0.01 324.0 2983.0 1.01
E0_Metab_50 -0.481 0.288 -1.021 0.066 0.014 0.01 390.0 1791.0 1.01
E0_Metab_60 -0.392 0.246 -0.847 0.08 0.015 0.01 282.0 793.0 1.02
E0_Metab_70 -1.033 0.289 -1.564 -0.47 0.014 0.01 415.0 2045.0 1.01
E0_Metab_80 -1.049 0.267 -1.556 -0.545 0.018 0.014 247.0 867.0 1.02
