 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -3.999 0.871 -5.605 -2.371 0.008 0.005 12733.0 7100.0 1.0
PermCellPDO -3.993 0.876 -5.549 -2.309 0.008 0.005 11674.0 6558.0 1.0
PermCell3HPA -4.009 0.894 -5.731 -2.447 0.01 0.007 7146.0 4771.0 1.0
k1DhaB -2.175 0.276 -2.663 -1.72 0.01 0.007 826.0 1594.0 1.02
k2DhaB 0.08 1.095 -1.945 2.131 0.023 0.026 3704.0 1221.0 1.0
k3DhaB 3.153 0.643 1.967 4.374 0.065 0.046 86.0 143.0 1.04
KeqDhaB 7.498 0.291 7.03 7.97 0.003 0.002 9460.0 7112.0 1.0
k1DhaT 2.142 0.9 0.472 3.837 0.011 0.008 7298.0 6194.0 1.0
k2DhaT -1.574 0.923 -2.917 0.682 0.331 0.244 11.0 25.0 1.37
k3DhaT 2.636 0.739 1.254 4.047 0.073 0.052 91.0 56.0 1.04
KeqDhaT 2.542 0.647 2.0 3.982 0.191 0.138 18.0 25.0 1.19
kcatfMetab 0.4 0.449 -0.255 1.37 0.17 0.13 10.0 26.0 1.43
KmMetabG -0.948 2.145 -2.82 3.49 0.938 0.704 10.0 25.0 1.44
DHAB_INIT_50 0.047 0.242 -0.401 0.514 0.006 0.004 1909.0 2892.0 1.0
DHAB_INIT_60 -0.131 0.24 -0.586 0.318 0.005 0.004 1930.0 2917.0 1.0
DHAB_INIT_70 -0.268 0.242 -0.703 0.207 0.006 0.004 1670.0 2571.0 1.01
DHAB_INIT_80 -0.379 0.242 -0.829 0.087 0.006 0.004 1566.0 2600.0 1.02
DHAT_INIT_50 0.164 0.377 -0.555 0.856 0.024 0.017 250.0 95.0 1.02
DHAT_INIT_60 0.117 0.354 -0.535 0.797 0.022 0.019 336.0 88.0 1.03
DHAT_INIT_70 -0.205 0.336 -0.83 0.425 0.057 0.041 47.0 33.0 1.07
DHAT_INIT_80 -0.305 0.354 -0.951 0.367 0.067 0.048 37.0 29.0 1.09
E0_Metab_50 -0.402 0.296 -0.962 0.16 0.033 0.023 78.0 2460.0 1.05
E0_Metab_60 -0.351 0.249 -0.818 0.119 0.005 0.004 2370.0 4224.0 1.0
E0_Metab_70 -0.921 0.326 -1.502 -0.297 0.075 0.054 19.0 65.0 1.18
E0_Metab_80 -0.946 0.298 -1.501 -0.395 0.063 0.045 23.0 82.0 1.15
