 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -4.005 0.887 -5.656 -2.358 0.007 0.005 13747.0 6153.0 1.0
PermCellPDO -4.015 0.882 -5.676 -2.423 0.008 0.006 11646.0 6737.0 1.0
PermCell3HPA -3.991 0.875 -5.583 -2.325 0.008 0.006 11609.0 6114.0 1.0
k1DhaB -2.238 0.368 -2.867 -1.717 0.012 0.008 1781.0 839.0 1.0
k2DhaB 0.243 1.302 -2.192 2.967 0.032 0.033 2521.0 814.0 1.0
k3DhaB 3.055 0.654 1.898 4.328 0.011 0.008 3347.0 3817.0 1.0
KeqDhaB 7.499 0.291 7.007 7.943 0.003 0.002 10354.0 7740.0 1.0
k1DhaT 2.28 0.815 0.853 3.859 0.008 0.006 11129.0 7982.0 1.0
k2DhaT 0.285 0.832 -1.27 1.843 0.008 0.007 10332.0 9551.0 1.0
k3DhaT 2.292 0.831 0.803 3.845 0.009 0.007 9033.0 6766.0 1.0
KeqDhaT 4.015 0.619 2.986 5.0 0.006 0.005 8839.0 5646.0 1.0
kcatfMetab 0.487 0.227 0.076 0.929 0.004 0.003 2747.0 4320.0 1.0
KmMetabG -1.987 0.511 -2.918 -1.006 0.004 0.003 15057.0 8802.0 1.0
DHAB_INIT_50 0.081 0.245 -0.387 0.537 0.005 0.003 2866.0 3499.0 1.0
DHAB_INIT_60 -0.082 0.245 -0.553 0.369 0.005 0.003 2866.0 3312.0 1.0
DHAB_INIT_70 -0.303 0.245 -0.769 0.154 0.005 0.003 2868.0 3392.0 1.0
DHAB_INIT_80 -0.419 0.245 -0.878 0.044 0.005 0.003 2863.0 3360.0 1.0
DHAT_INIT_50 0.072 0.458 -0.781 0.945 0.005 0.004 10158.0 7235.0 1.0
DHAT_INIT_60 0.048 0.473 -0.848 0.936 0.004 0.005 11324.0 6602.0 1.0
DHAT_INIT_70 0.046 0.479 -0.842 0.947 0.004 0.005 11927.0 7559.0 1.0
DHAT_INIT_80 0.032 0.479 -0.838 0.951 0.005 0.005 11043.0 6920.0 1.0
E0_Metab_50 -0.524 0.228 -0.967 -0.109 0.004 0.003 2748.0 4361.0 1.0
E0_Metab_60 -0.522 0.228 -0.963 -0.104 0.004 0.003 2762.0 4228.0 1.0
E0_Metab_70 -0.721 0.228 -1.171 -0.319 0.004 0.003 2761.0 4410.0 1.0
E0_Metab_80 -0.743 0.227 -1.179 -0.327 0.004 0.003 2758.0 4277.0 1.0
