 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
PermCellGlycerol -4.06 0.873 -5.749 -2.532 0.029 0.021 957.0 742.0 
PermCellPDO -4.023 0.927 -5.636 -2.311 0.043 0.031 449.0 342.0 
PermCell3HPA -3.981 0.862 -5.493 -2.297 0.027 0.019 997.0 715.0 
k1DhaB -2.252 0.231 -2.685 -1.823 0.012 0.008 388.0 689.0 
k2DhaB -0.099 0.915 -1.794 1.494 0.04 0.028 499.0 558.0 
k3DhaB 2.881 0.665 1.823 4.184 0.03 0.022 444.0 514.0 
KeqDhaB 7.512 0.283 7.08 7.999 0.009 0.006 953.0 451.0 
k1DhaT 2.339 0.815 1.028 3.89 0.031 0.024 775.0 679.0 
k2DhaT 0.289 0.804 -1.233 1.763 0.026 0.021 949.0 1214.0 
k3DhaT 2.226 0.793 0.755 3.699 0.026 0.019 960.0 1017.0 
KeqDhaT 4.032 0.614 3.022 4.998 0.028 0.02 478.0 803.0 
kcatfMetab 1.165 0.245 0.692 1.602 0.009 0.007 723.0 865.0 
KmMetabG 3.254 0.184 2.956 3.636 0.008 0.006 521.0 495.0 
DHAB_INIT_50 0.027 0.231 -0.383 0.478 0.011 0.008 420.0 755.0 
DHAB_INIT_60 -0.143 0.229 -0.546 0.311 0.011 0.008 431.0 781.0 
DHAB_INIT_70 -0.351 0.229 -0.764 0.093 0.011 0.008 435.0 740.0 
DHAB_INIT_80 -0.473 0.228 -0.901 -0.048 0.011 0.008 438.0 799.0 
DHAT_INIT_50 0.069 0.456 -0.833 0.869 0.016 0.012 819.0 1190.0 
DHAT_INIT_60 0.046 0.471 -0.834 0.92 0.016 0.012 846.0 805.0 
DHAT_INIT_70 0.07 0.472 -0.764 0.944 0.017 0.012 789.0 1330.0 
DHAT_INIT_80 0.036 0.464 -0.756 0.957 0.015 0.013 1053.0 793.0 
E0_Metab_50 -0.235 0.221 -0.646 0.181 0.008 0.006 836.0 863.0 
E0_Metab_60 -0.323 0.22 -0.727 0.094 0.008 0.006 791.0 790.0 
E0_Metab_70 -0.587 0.216 -0.998 -0.18 0.008 0.005 829.0 1122.0 
E0_Metab_80 -0.665 0.217 -1.061 -0.248 0.008 0.005 842.0 1176.0 
