 mean sd hdi_3% hdi_97% mcse_mean mcse_sd ess_bulk ess_tail r_hat
G_EXT_INIT_50 -6.262 2.558 -11.655 -2.598 0.943 0.733 9.0 34.0 1.19
G_EXT_INIT_60 12.487 19.875 -10.599 33.508 13.964 11.814 3.0 13.0 2.2
G_EXT_INIT_70 -1.986 0.602 -3.082 -0.968 0.206 0.151 8.0 28.0 1.22
G_EXT_INIT_80 -1.124 0.316 -2.028 -0.795 0.157 0.12 4.0 17.0 1.76
PermCellGlycerol -3.766 0.568 -4.966 -2.905 0.272 0.208 6.0 24.0 1.84
PermCellPDO -4.35 0.874 -5.755 -2.909 0.418 0.318 5.0 28.0 1.34
PermCell3HPA -3.914 0.67 -4.956 -2.486 0.2 0.145 14.0 60.0 1.17
k1DhaB 1.222 1.257 -0.379 2.473 0.88 0.749 2.0 13.0 2.37
k2DhaB 2.06 0.278 1.706 2.57 0.157 0.123 5.0 13.0 1.89
k3DhaB 0.133 0.768 -0.642 0.944 0.541 0.457 3.0 37.0 1.9
KeqDhaB 7.424 0.228 7.095 7.977 0.042 0.031 53.0 62.0 1.73
k1DhaT 2.681 0.801 1.124 4.03 0.267 0.2 10.0 35.0 1.16
k2DhaT 0.543 0.803 -0.953 2.014 0.158 0.114 27.0 22.0 1.04
k3DhaT 2.383 0.654 0.975 3.449 0.119 0.085 32.0 81.0 1.16
KeqDhaT 4.021 0.743 2.35 4.964 0.244 0.178 15.0 14.0 1.18
VmaxfMetab -0.012 0.072 -0.091 0.096 0.049 0.041 3.0 19.0 1.93
KmMetabG 0.289 2.142 -2.195 2.527 1.503 1.269 3.0 22.0 1.84
DHAB_INIT -0.021 0.684 -0.762 0.68 0.482 0.407 2.0 12.0 2.59
DHAT_INIT -0.897 1.007 -1.982 0.555 0.686 0.596 3.0 13.0 2.15
